zipcode, #_of_Chick_fil_a, #_of_Tacobells, #_of_Starbucks
02644, 0, 0, 0 
02645, 0, 0, 0 
02646, 0, 0, 0 
02647, 0, 0, 0 
02648, 0, 0, 0 
02649, 0, 0, 0 
02650, 0, 0, 0 
02651, 0, 0, 0 
02652, 0, 0, 0 
02653, 0, 0, 0 
02655, 0, 0, 0 
02657, 0, 0, 0 
02659, 0, 0, 0 
02660, 0, 0, 0 
02661, 0, 0, 0 
02662, 0, 0, 0 
02663, 0, 0, 0 
02664, 0, 0, 0 
02666, 0, 0, 0 
02667, 0, 0, 0 
02668, 0, 0, 0 
02669, 0, 0, 0 
02670, 0, 0, 0 
02671, 0, 0, 0 
02672, 0, 0, 0 
02673, 0, 0, 0 
02675, 0, 0, 0 
02702, 0, 0, 0 
02703, 1, 0, 0 
02712, 0, 0, 0 
02713, 0, 0, 0 
02714, 0, 0, 0 
02715, 0, 0, 0 
02717, 0, 0, 0 
02718, 0, 0, 0 
02719, 0, 0, 0 
02720, 0, 0, 0 
02721, 0, 0, 0 
02722, 0, 0, 0 
02723, 0, 0, 0 
02724, 0, 0, 0 
02725, 0, 0, 0 
02726, 0, 0, 0 
02738, 0, 0, 0 
02739, 0, 0, 0 
02740, 0, 0, 0 
02741, 0, 0, 0 
02742, 0, 0, 0 
02743, 0, 0, 0 
02744, 0, 0, 0 
02745, 0, 0, 0 
02746, 0, 0, 0 
02747, 0, 0, 0 
02748, 0, 0, 0 
02760, 0, 0, 0 
02761, 0, 0, 0 
02762, 0, 0, 0 
02763, 0, 0, 0 
02764, 0, 0, 0 
02766, 0, 0, 0 
02767, 0, 0, 0 
02768, 0, 0, 0 
02769, 0, 0, 0 
02770, 0, 0, 0 
02771, 1, 0, 0 
02777, 0, 0, 0 
02779, 0, 0, 0 
02780, 0, 0, 0 
02783, 0, 0, 0 
02790, 0, 0, 0 
02791, 0, 0, 0 
02801, 0, 0, 0 
02802, 0, 0, 0 
02804, 0, 0, 0 
02806, 0, 0, 0 
02807, 0, 0, 0 
02808, 0, 0, 0 
02809, 0, 0, 0 
02812, 0, 0, 0 
02813, 0, 0, 0 
02814, 0, 0, 0 
02815, 0, 0, 0 
02816, 0, 0, 0 
02817, 0, 0, 0 
02818, 0, 0, 0 
02822, 0, 0, 0 
02823, 0, 0, 0 
02824, 0, 0, 0 
02825, 0, 0, 0 
02826, 0, 0, 0 
02827, 0, 0, 0 
02828, 0, 0, 0 
02829, 0, 0, 0 
02830, 0, 0, 0 
02831, 0, 0, 0 
02832, 0, 0, 0 
02833, 0, 0, 0 
02835, 0, 0, 0 
02836, 0, 0, 0 
02837, 0, 0, 0 
02838, 0, 0, 0 
02839, 0, 0, 0 
02840, 0, 0, 0 
02841, 0, 0, 0 
02842, 0, 0, 0 
02852, 0, 0, 0 
02854, 0, 0, 0 
02857, 0, 0, 0 
02858, 0, 0, 0 
02859, 0, 0, 0 
02860, 0, 0, 0 
02861, 0, 0, 0 
02862, 0, 0, 0 
02863, 0, 0, 0 
02864, 0, 0, 0 
02865, 0, 0, 0 
02871, 0, 0, 0 
02872, 0, 0, 0 
02873, 0, 0, 0 
02874, 0, 0, 0 
02875, 0, 0, 0 
02876, 0, 0, 0 
02877, 0, 0, 0 
02878, 0, 0, 0 
02879, 0, 0, 0 
02880, 0, 0, 0 
02881, 0, 0, 0 
02882, 0, 0, 0 
02883, 0, 0, 0 
02885, 0, 0, 0 
02886, 1, 0, 0 
02887, 0, 0, 0 
02888, 0, 0, 0 
02889, 0, 0, 0 
02891, 0, 0, 0 
02892, 0, 0, 0 
02893, 0, 0, 0 
02894, 0, 0, 0 
02895, 0, 0, 0 
02896, 0, 0, 0 
02898, 0, 0, 0 
02901, 0, 0, 0 
02902, 0, 0, 0 
02903, 0, 0, 0 
02904, 0, 0, 0 
02905, 0, 0, 0 
02906, 0, 0, 0 
02907, 0, 0, 0 
02908, 0, 0, 0 
02909, 0, 0, 0 
02910, 0, 0, 0 
02911, 0, 0, 0 
02912, 0, 0, 0 
02914, 0, 0, 0 
02915, 0, 0, 0 
02916, 0, 0, 0 
02917, 0, 0, 0 
02918, 0, 0, 0 
02919, 0, 0, 0 
02920, 0, 0, 0 
02921, 0, 0, 0 
02940, 0, 0, 0 
03031, 0, 0, 0 
03032, 0, 0, 0 
03033, 0, 0, 0 
03034, 0, 0, 0 
03036, 0, 0, 0 
03037, 0, 0, 0 
03038, 0, 0, 0 
03040, 0, 0, 0 
03041, 0, 0, 0 
03042, 0, 0, 0 
03043, 0, 0, 0 
03044, 0, 0, 0 
03045, 0, 0, 0 
03046, 0, 0, 0 
03047, 0, 0, 0 
03048, 0, 0, 0 
03049, 0, 0, 0 
03051, 0, 0, 0 
03052, 0, 0, 0 
03053, 0, 0, 0 
03054, 0, 0, 0 
03055, 0, 0, 0 
03057, 0, 0, 0 
03060, 1, 0, 0 
03061, 0, 0, 0 
03062, 0, 0, 0 
03063, 1, 0, 0 
03064, 0, 0, 0 
03070, 0, 0, 0 
03071, 0, 0, 0 
03073, 0, 0, 0 
03076, 0, 0, 0 
03077, 0, 0, 0 
03079, 0, 0, 0 
03082, 0, 0, 0 
03084, 0, 0, 0 
03086, 0, 0, 0 
03087, 0, 0, 0 
03101, 0, 0, 0 
03102, 0, 0, 0 
03103, 0, 0, 0 
03104, 0, 0, 0 
03105, 0, 0, 0 
03106, 0, 0, 0 
03107, 0, 0, 0 
03108, 0, 0, 0 
03109, 0, 0, 0 
03110, 0, 0, 0 
03111, 0, 0, 0 
03215, 0, 0, 0 
03216, 0, 0, 0 
03217, 0, 0, 0 
03218, 0, 0, 0 
03220, 0, 0, 0 
03221, 0, 0, 0 
03222, 0, 0, 0 
03223, 0, 0, 0 
03224, 0, 0, 0 
03225, 0, 0, 0 
03226, 0, 0, 0 
03227, 0, 0, 0 
03229, 0, 0, 0 
03230, 0, 0, 0 
03231, 0, 0, 0 
03233, 0, 0, 0 
03234, 0, 0, 0 
03235, 0, 0, 0 
03237, 0, 0, 0 
03238, 0, 0, 0 
03240, 0, 0, 0 
03241, 0, 0, 0 
03242, 0, 0, 0 
03243, 0, 0, 0 
03244, 0, 0, 0 
03245, 0, 0, 0 
03246, 0, 0, 0 
03247, 0, 0, 0 
03249, 0, 0, 0 
03251, 0, 0, 0 
03252, 0, 0, 0 
03253, 0, 0, 0 
03254, 0, 0, 0 
03255, 0, 0, 0 
03256, 0, 0, 0 
03257, 0, 0, 0 
